question_text,question_type,option_a,option_b,option_c,option_d,correct_option,marks,negative_marks,year,explanation
"The most abundant metal in the earth’s crust is",MCQ,"","","","",,1,0,,""
"The electronic configuration of three elements X, Y and Z are as follows: X = 2, 4; Y = 2, 7; Z = 2,1. Which two elements will combine to form an ionic compound and write the correct formula?",MCQ,"","","","",,1,0,,""
"Which of the following property is generally not shown by metals?",MCQ,"","","","",,1,0,,""
"Which one of the following metals do not react with cold as well as hot water?",MCQ,"","","","",,1,0,,""
"Which of the following pair of metals exist in their native state in nature?",MCQ,"","","","",,1,0,,""
"Which property of metals is used for making bells and strings of musical instruments like Sitar and Violin?",MCQ,"","","","",,1,0,,""
"The atomic number of an element ‘X’ is 12. Which inert gas is nearest to X?",MCQ,"","","","",,1,0,,""
"The process in which a carbonate ore is heated strongly in the absence of air to convert it into metal oxide is called ________",MCQ,"","","","",,1,0,,""
"Which of the following metals exist in their native state in nature? (i) Cu (ii) Au (iii) Zn (iv) Ag",MCQ,"","","","",,1,0,,""
"The chemical reaction between a piece of copper and nitric acid is given by the chemical equations, Cu + HNO3 → Cu(NO3)2 + H2; H2 + HNO3 → H2O + NO2. What can be inferred from the chemical equation?",MCQ,"","","","",,1,0,,""
"Which of the following is the correct arrangement of the given metals in ascending order of their reactivity? Zinc, Iron, Magnesium, Sodium",MCQ,"","","","",,1,0,,""
"Which one among the following is an acidic oxide?",MCQ,"","","","",,1,0,,""
"Which of the given non-metal is a liquid?",MCQ,"","","","",,1,0,,""
"Metallic oxide are generally _______ in nature.",MCQ,"","","","",,1,0,,""
"Galvanisation is a method of protecting iron from rusting by coating with a thin layer of",MCQ,"","","","",,1,0,,""
"Non-metals form covalent chlorides because",MCQ,"","","","",,1,0,,""
"An element X is soft and can be cut with a knife. This is very reactive to air and cannot be kept open in air. It reacts vigorously with water. Identify the element from the following.",MCQ,"","","","",,1,0,,""
"Sodium chloride is a _________ compound",MCQ,"","","","",,1,0,,""
"A student adds some metallic ash in water taken in a test tube. The ash gets completely dissolved in water and the solution changes its colour. What should the student do next to test the chemical properties of the product formed?",MCQ,"","","","",,1,0,,""
"Which of the following is the correct arrangement of the given metals in ascending order of their reactivity? Zinc, Iron, Magnesium, Sodium",MCQ,"","","","",,1,0,,""
"Which of the following are not ionic compounds? (i) KCl (ii) HCl (iii) CCl4 (iv) NaCl",MCQ,"","","","",,1,0,,""
"Reaction between X and Y forms compound Z. X loses electron and Y gains electron. Which of the following properties is not shown by Z?",MCQ,"","","","",,1,0,,""
"The ability of metals to be drawn into thin wire is known as",MCQ,"","","","",,1,0,,""
"Aluminium is used for making cooking utensils. Which of the following properties of aluminium are responsible for the same? (i) Good thermal conductivity (ii) Good electrical conductivity (iii) Ductility (iv) High melting point",MCQ,"","","","",,1,0,,""
"A student makes an electric circuit using an LED, a battery and connecting wires to test the conductivity of distilled water. The student notices that the LED does not glow. He replaces the distilled water with a salt solution and observes that the LED glows. How does the salt solution help the LED to glow?",MCQ,"","","","",,1,0,,""
"iron is found in the free state in nature.",MCQ,"","","","",,1,0,,""
"Ionic compounds have high melting and boiling points.",MCQ,"","","","",,1,0,,""
"Silver becomes black in colour when exposed to atmosphere.",MCQ,"","","","",,1,0,,""
"Ionic compounds and solids are somewhat hard.",MCQ,"","","","",,1,0,,""
"Copper does not reacts with the H2SO4.",MCQ,"","","","",,1,0,,""
"Rusting of iron is a slow combustion",MCQ,"","","","",,1,0,,""
"Nitrogen is a non-metal.",MCQ,"","","","",,1,0,,""
"Al2O3, is an amphoteric oxide.",MCQ,"","","","",,1,0,,""
"Iron is the most widely used metal. But it is never used in its pure state.",MCQ,"","","","",,1,0,,""
"All non metals are insulators.",MCQ,"","","","",,1,0,,""
"Which of the following metals is less reactive than hydrogen?",MCQ,"","","","",,1,0,,""
"Which of the following elements is not present in stainless steel?",MCQ,"","","","",,1,0,,""
"Which of the following metals reacts vigorously with oxygen?",MCQ,"","","","",,1,0,,""
"Which of the following represents the correct order of reactivity for the given metals?",MCQ,"","","","",,1,0,,""
"Hydrogen gas is not evolved when a metal reacts with nitric acid because HNO3 is a strong oxidising agent. But __________ and __________ react with very dilute HNO3 to evolve H2 gas.",MCQ,"","","","",,1,0,,""
"Which among the following alloys contain non-metal as one of its constituents?",MCQ,"","","","",,1,0,,""
"An alloy can be one of the following types:",MCQ,"","","","",,1,0,,""
"By adding silicon to stainless steel which of the following property is enhanced?",MCQ,"","","","",,1,0,,""
"Which of the following alloy(s) contain mercury as one of its constituents?",MCQ,"","","","",,1,0,,""
"Identify A and C?",MCQ,"","","","",,1,0,,""
"Identify B and D which are oxides of",MCQ,"","","","",,1,0,,""
"Amphoteric oxides are",MCQ,"","","","",,1,0,,""
"Which of the following is amphoteric in nature?",MCQ,"","","","",,1,0,,""
"____________ is a non-metal but is lustrous",MCQ,"","","","",,1,0,,""
"Which of the following is known as 'King of chemicals'?",MCQ,"","","","",,1,0,,""
"Which of the following non-metals is a liquid?",MCQ,"","","","",,1,0,,""
"Hydrogen is used",MCQ,"","","","",,1,0,,""
"Generally, non-metals are bad conductors of electricity but 'X' which is a form of carbon is a good conductor of electricity and is an exceptional non-metal. 'X' is",MCQ,"","","","",,1,0,,""
"Which of the following metal is less reactive than hydrogen?",MCQ,"","","","",,1,0,,""
"Which of the following represents the correct order of reactivity for the given metals?",MCQ,"","","","",,1,0,,""
"Hydrogen gas is not evolved when a metal reacts with nitric acid because HNO3 is a strong oxidising agent. But ___________ and ___________ react with very dilute HNO3 to evolve H2 gas.",MCQ,"","","","",,1,0,,""
"Which of the following metals reacts vigorously with oxygen?",MCQ,"","","","",,1,0,,""
