question_id,label,text,is_correct,position
CR-T1-001,A,Change in colour,False,1
CR-T1-001,B,Formation of a precipitate,False,2
CR-T1-001,C,Evolution of a gas,False,3
CR-T1-001,D,Change in the size of a solid piece,True,4
CR-T1-002,A,Conservation of mass,True,1
CR-T1-002,B,Avogadro's law,False,2
CR-T1-002,C,Multiple proportions,False,3
CR-T1-002,D,Definite proportions,False,4
CR-T1-003,A,"3, 4, 1, 4",True,1
CR-T1-003,B,"1, 4, 3, 4",False,2
CR-T1-003,C,"3, 2, 1, 2",False,3
CR-T1-003,D,"2, 4, 1, 3",False,4
CR-T1-004,A,"4, 3, 2",True,1
CR-T1-004,B,"2, 3, 1",False,2
CR-T1-004,C,"3, 4, 2",False,3
CR-T1-004,D,"2, 2, 1",False,4
CR-T1-005,A,6,True,1
CR-T1-005,B,4,False,2
CR-T1-005,C,5,False,3
CR-T1-005,D,7,False,4
CR-T1-006,A,2H₂ + O₂ → H₂O,False,1
CR-T1-006,B,H₂ + 2O₂ → 2H₂O,False,2
CR-T1-006,C,2H₂ + O₂ → 2H₂O,True,3
CR-T1-006,D,H₂ + O₂ → H₂O,False,4
CR-T1-007,A,It violates Avogadro's law,False,1
CR-T1-007,B,It makes the equation longer,False,2
CR-T1-007,C,It changes the state of the substance,False,3
CR-T1-007,D,It changes the identity of the substance,True,4
CR-T1-008,A,Carbon dioxide,False,1
CR-T1-008,B,Oxygen,False,2
CR-T1-008,C,Hydrogen,True,3
CR-T1-008,D,Chlorine,False,4
CR-T1-009,A,Nitrogen,False,1
CR-T1-009,B,Oxygen,False,2
CR-T1-009,C,Nitrogen dioxide,True,3
CR-T1-009,D,Lead monoxide,False,4
CR-T1-010,A,4,True,1
CR-T1-010,B,8,False,2
CR-T1-010,C,2,False,3
CR-T1-010,D,3,False,4
CR-T1-011,A,3,False,1
CR-T1-011,B,7,True,2
CR-T1-011,C,5,False,3
CR-T1-011,D,6,False,4
CR-T1-012,A,4,False,1
CR-T1-012,B,1,False,2
CR-T1-012,C,3,True,3
CR-T1-012,D,2,False,4
CR-T1-013,A,Boiling of water,False,1
CR-T1-013,B,Souring of milk,True,2
CR-T1-013,C,Melting of ice,False,3
CR-T1-013,D,Dissolving sugar in water,False,4
CR-T1-014,A,Formed with release of heat,False,1
CR-T1-014,B,A gas,False,2
CR-T1-014,C,An insoluble solid (precipitate),True,3
CR-T1-014,D,A liquid,False,4
CR-T1-015,A,Both A and R are true and R is the correct explanation of A.,True,1
CR-T1-015,B,Both A and R are true but R is not the correct explanation of A.,False,2
CR-T1-015,C,A is true but R is false.,False,3
CR-T1-015,D,A is false but R is true.,False,4
CR-T1-016,A,Both A and R are true and R is the correct explanation of A.,False,1
CR-T1-016,B,Both A and R are true but R is not the correct explanation of A.,False,2
CR-T1-016,C,A is true but R is false.,False,3
CR-T1-016,D,A is false but R is true.,True,4
CR-T1-017,A,Both A and R are true and R is the correct explanation of A.,False,1
CR-T1-017,B,Both A and R are true but R is not the correct explanation of A.,False,2
CR-T1-017,C,A is true but R is false.,False,3
CR-T1-017,D,A is false but R is true.,True,4
CR-T1-018,A,Only I is correct,True,1
CR-T1-018,B,Only II is correct,False,2
CR-T1-018,C,Both I and II are correct,False,3
CR-T1-018,D,Neither I nor II is correct,False,4
CR-T1-019,A,Only I is correct,False,1
CR-T1-019,B,Only II is correct,False,2
CR-T1-019,C,Both I and II are correct,True,3
CR-T1-019,D,Neither I nor II is correct,False,4
CR-T1-020,A,"1-Q, 2-P, 3-S, 4-R",True,1
CR-T1-020,B,"1-S, 2-P, 3-Q, 4-R",False,2
CR-T1-020,C,"1-P, 2-Q, 3-S, 4-R",False,3
CR-T1-020,D,"1-Q, 2-P, 3-R, 4-S",False,4
CR-T1-021,A,Lead vapour,False,1
CR-T1-021,B,Oxygen,False,2
CR-T1-021,C,Nitrogen,False,3
CR-T1-021,D,Nitrogen dioxide,True,4
CR-T1-022,A,Lead sulphate,False,1
CR-T1-022,B,Lead dioxide,False,2
CR-T1-022,C,Lead nitrate,False,3
CR-T1-022,D,Lead monoxide (PbO),True,4
CR-T1-023,A,Thermal decomposition,True,1
CR-T1-023,B,Photolytic decomposition,False,2
CR-T1-023,C,Displacement,False,3
CR-T1-023,D,Combination,False,4
CR-T2-001,A,A combination reaction,True,1
CR-T2-001,B,A decomposition reaction,False,2
CR-T2-001,C,A displacement reaction,False,3
CR-T2-001,D,A double displacement reaction,False,4
CR-T2-002,A,Magnesium hydroxide,False,1
CR-T2-002,B,Magnesium chloride,False,2
CR-T2-002,C,Magnesium carbonate,False,3
CR-T2-002,D,Magnesium oxide,True,4
CR-T2-003,A,Calcium chloride and oxygen,False,1
CR-T2-003,B,Calcium oxide and hydrogen,False,2
CR-T2-003,C,Calcium oxide and carbon dioxide,True,3
CR-T2-003,D,Calcium hydroxide and carbon dioxide,False,4
CR-T2-004,A,2AgCl → 2Ag + Cl₂ (in sunlight),False,1
CR-T2-004,B,2H₂O → 2H₂ + O₂ (electric current passed),True,2
CR-T2-004,C,CaCO₃ → CaO + CO₂ (on heating),False,3
CR-T2-004,D,2Pb(NO₃)₂ → 2PbO + 4NO₂ + O₂ (on heating),False,4
CR-T2-005,A,1 : 2,False,1
