question_id,type,chapter_slug,topic_slug,subtopic,stem,difficulty,skill,marks,neg_marks,est_time_sec,board_pattern,pyq_year,lang,status,source,parent_id,correct_option,answer_text,explanation,common_mistake,exam_focus,tags
CR-T1-001,mcq,chemical-reactions-and-equations,chemical-equations-balancing,Identifying chemical reactions,Which of the following is NOT an observation that indicates a chemical reaction?,1,recall,1,0,45,CBSE/SEBA,,en,draft,AI-original (needs review),,D,Change in the size of a solid piece,"Size change is physical. Gas evolution, colour change, precipitate formation and temperature change point to a chemical reaction.",Treating every visible change as a chemical change.,board,mcq;identifying chemical reactions
CR-T1-002,mcq,chemical-reactions-and-equations,chemical-equations-balancing,Balancing equations,Chemical equations are balanced to satisfy the law of:,1,recall,1,0,45,CBSE/SEBA,,en,draft,AI-original (needs review),,A,Conservation of mass,"Mass is neither created nor destroyed, so atoms of each element must be equal on both sides.",,board,mcq;balancing equations
CR-T1-003,mcq,chemical-reactions-and-equations,chemical-equations-balancing,Balancing equations,"The coefficients of Fe, H₂O, Fe₃O₄ and H₂ in the balanced equation Fe + H₂O → Fe₃O₄ + H₂ are:",2,application,1,0,45,CBSE/SEBA,,en,draft,AI-original (needs review),,A,"3, 4, 1, 4","3Fe + 4H₂O → Fe₃O₄ + 4H₂ has 3 Fe, 8 H and 4 O on each side.",Balancing H₂ before Fe and O.,board,mcq;balancing equations
CR-T1-004,mcq,chemical-reactions-and-equations,chemical-equations-balancing,Balancing equations,"The coefficients of Al, O₂ and Al₂O₃ in the balanced equation Al + O₂ → Al₂O₃ are respectively:",2,application,1,0,45,CBSE/SEBA,,en,draft,AI-original (needs review),,A,"4, 3, 2",4Al + 3O₂ → 2Al₂O₃ has 4 Al and 6 O on each side.,,board,mcq;balancing equations
CR-T1-005,mcq,chemical-reactions-and-equations,chemical-equations-balancing,Balancing equations,The sum of the coefficients in the balanced equation N₂ + H₂ → NH₃ is:,2,application,1,0,45,CBSE/SEBA,,en,draft,AI-original (needs review),,A,6,N₂ + 3H₂ → 2NH₃ gives 1 + 3 + 2 = 6.,,board,mcq;balancing equations
CR-T1-006,mcq,chemical-reactions-and-equations,chemical-equations-balancing,Balancing equations,Which of the following is a balanced chemical equation?,1,recall,1,0,45,CBSE/SEBA,,en,draft,AI-original (needs review),,C,2H₂ + O₂ → 2H₂O,Only 2H₂ + O₂ → 2H₂O has 4 H and 2 O on both sides.,,board,mcq;balancing equations
CR-T1-007,mcq,chemical-reactions-and-equations,chemical-equations-balancing,Balancing equations,An equation should not be balanced by changing the subscripts in a formula because:,3,reasoning,1,0,60,CBSE/SEBA,,en,draft,AI-original (needs review),,D,It changes the identity of the substance,Changing a subscript turns one compound into a different compound (for example H₂O to H₂O₂).,Changing subscripts instead of coefficients.,board;NTSE;foundation,mcq;balancing equations
CR-T1-008,mcq,chemical-reactions-and-equations,chemical-equations-balancing,Identifying chemical reactions,Which gas is evolved when zinc granules react with dilute sulphuric acid?,1,recall,1,0,45,CBSE/SEBA,,en,draft,AI-original (needs review),,C,Hydrogen,Zn + H₂SO₄ → ZnSO₄ + H₂. Hydrogen burns with a pop sound.,,board,mcq;identifying chemical reactions
CR-T1-009,mcq,chemical-reactions-and-equations,chemical-equations-balancing,Identifying chemical reactions,"On heating lead nitrate powder in a boiling tube, brown fumes are due to:",1,recall,1,0,45,CBSE/SEBA,,en,draft,AI-original (needs review),,C,Nitrogen dioxide,NO₂ is a brown gas. Oxygen is colourless and PbO is a yellow residue.,,board,mcq;identifying chemical reactions
CR-T1-010,mcq,chemical-reactions-and-equations,chemical-equations-balancing,Balancing equations,"In the balanced equation 2Pb(NO₃)₂ → 2PbO + xNO₂ + O₂, the value of x is:",2,application,1,0,45,CBSE/SEBA,,en,draft,AI-original (needs review),,A,4,"N: 4 on the left, so x = 4. O: 12 = 2 + 8 + 2.",,board,mcq;balancing equations
